,player,team,total_wickets,bowling_avg
72,A Zampa,Australia,74304,27.811666666666746
265,AU Rashid,England,59904,36.60666666666672
162,Mehidy Hasan Miraz,Bangladesh,56133,33.823333333333366
79,Kuldeep Yadav,India,49726,34.2226086956526
15,Mustafizur Rahman,Bangladesh,49348,38.4930769230769
280,Haris Rauf,Pakistan,41895,36.709047619048036
181,Shaheen Shah Afridi,Pakistan,39349,30.634210526316025
74,Taskin Ahmed,Bangladesh,38088,34.35304347826096
87,L Ngidi,South Africa,35816,48.054545454545625
316,MJ Henry,New Zealand,31104,29.250000000000004
